,Rank,Mark,Competitor,DOB,Nationality,Position,Venue,Date,ResultScore
0,1,74.08,Jürgen SCHULT,11-May-60,GDR,1,Neubrandenburg (GDR),06-Jun-86,1320
1,2,73.88,Virgilijus ALEKNA,13-Feb-72,LTU,1,Kaunas (LTU),03-Aug-00,1316
2,3,73.38,Gerd KANTER,06-May-79,EST,1,Helsingborg (SWE),04-Sep-06,1307
3,4,72.02,Gerd KANTER,06-May-79,EST,1,"Salinas, CA (USA)",03-May-07,1282
4,5,71.88,Gerd KANTER,06-May-79,EST,-1,"Salinas, CA (USA)",08-May-08,1279
5,6,71.86,Yuriy DUMCHEV,05-Aug-58,URS,1,Moskva (URS),29-May-83,1279
6,6,71.86,Daniel STÅHL,27-Aug-92,SWE,-1,Bottnaryd (SWE),29-Jun-19,1279
7,8,71.84,Piotr MAŁACHOWSKI,07-Jun-83,POL,1,"Blankers-Koen Stadion, Hengelo (NED)",08-Jun-13,1278
8,9,71.7,Róbert FAZEKAS,18-Aug-75,HUN,1,Szombathely (HUN),14-Jul-02,1276
9,10,NA,Gerd KANTER,06-May-79,EST,1,Kohila (EST),25-Jun-09,1275
10,11,71.56,Virgilijus ALEKNA,13-Feb-72,LTU,1,Kaunas (LTU),25-Jul-07,NA
11,12,71.5,Lars RIEDEL,28-Jun-67,GER,1,Wiesbaden (GER),03-May-97,1272
12,13,71.45,Gerd KANTER,06-May-79,EST,-1,"Chula Vista, CA (USA)",29-Apr-10,1271
13,14,71.37,Daniel STÅHL,27-Aug-92,SWE,1,"Sollentunavallen, Sollentuna (SWE)",10-Aug-20,1270
14,15,71.32,Ben PLUCKNETT,13-Apr-54,USA,1,"Eugene, OR (USA)",04-Jun-83,1269
15,16,71.29,Daniel STÅHL,27-Aug-92,SWE,1,Sollentuna (SWE),29-Jun-17,1268
16,17,71.26,John POWELL,25-Jun-47,USA,1,San José (USA),09-Jun-84,1268
17,17,71.26,Rickard BRUCH,02-Jul-46,SWE,1,Malmö (SWE),15-Nov-84,1268
18,17,71.26,Imrich BUGÁR,14-Apr-55,TCH,1,San José (USA),25-May-85,1268
19,20,71.25,Róbert FAZEKAS,18-Aug-75,HUN,1,"CM, Madrid (ESP)",21-Sep-02,1268
20,20,71.25,Virgilijus ALEKNA,13-Feb-72,LTU,1,Turnov (CZE),20-May-08,1268
21,22,71.18,Art BURNS,19-Jul-54,USA,1,San José (USA),19-Jul-83,1266
22,23,71.16,Wolfgang SCHMIDT,16-Jan-54,GDR,1,Berlin (GER),09-Aug-78,1266
23,24,71.14,Ben PLUCKNETT,13-Apr-54,USA,1,"Berkeley, CA (USA)",12-Jun-83,1266
24,24,71.14,Anthony WASHINGTON,16-Jan-66,USA,1,"Salinas, CA (USA)",22-May-96,1266
25,26,71.12,Virgilijus ALEKNA,13-Feb-72,LTU,1,Zürich (SUI),11-Aug-00,1265
26,27,71.08,Ben PLUCKNETT,13-Apr-54,USA,-1,"Eugene, OR (USA)",04-Jun-83,1264
27,27,71.08,Virgilijus ALEKNA,13-Feb-72,LTU,1,Rethymno (GRE),21-Jul-06,1264
28,29,71.06,Luis Mariano DELIS,06-Dec-57,CUB,1,La Habana (CUB),21-May-83,1264
29,29,71.06,Lars RIEDEL,28-Jun-67,GER,1,Zürich (SUI),14-Aug-96,1264
30,31,71,Rickard BRUCH,02-Jul-46,SWE,1,Malmö (SWE),14-Oct-84,1263
31,32,70.99,Virgilijus ALEKNA,13-Feb-72,LTU,1,Stellenbosch (RSA),30-Mar-01,1263
32,33,70.98,Mac WILKINS,15-Nov-50,USA,1,Helsinki (FIN),09-Jul-80,1263
33,33,70.98,Art BURNS,19-Jul-54,USA,1,"Eugene, OR (USA)",21-Jul-84,1263
34,35,70.97,Virgilijus ALEKNA,13-Feb-72,LTU,1,Rethymno (GRE),23-Jun-04,1262
35,36,70.93,Gerd KANTER,06-May-79,EST,1,Helsingborg (SWE),28-Jun-07,1262
36,37,70.92,Wolfgang SCHMIDT,16-Jan-54,FRG,1,Norden (GER),09-Sep-89,1261
37,37,70.92,Gerd KANTER,06-May-79,EST,2,Kaunas (LTU),25-Jul-07,1261
38,39,70.89,Daniel STÅHL,27-Aug-92,SWE,1,Varberg (SWE),15-Jul-19,1261
39,40,70.86,Mac WILKINS,15-Nov-50,USA,1,San José (USA),01-May-76,1260
40,40,70.86,Virgilijus ALEKNA,13-Feb-72,LTU,1,Rethymno (GRE),14-Jul-08,1260
41,42,70.84,Gerd KANTER,06-May-79,EST,1,"Chula Vista, CA (USA)",28-Apr-09,1260
42,43,70.83,Róbert FAZEKAS,18-Aug-75,HUN,2,Rethymno (GRE),23-Jun-04,1260
43,44,70.82,Ben PLUCKNETT,13-Apr-54,USA,1,"Salinas, CA (USA)",01-Jun-83,NA
44,44,70.82,Aleksander TAMMERT,02-Feb-73,EST,1,"Denton, TX (USA)",15-Apr-06,1260
45,46,70.78,Róbert FAZEKAS,18-Aug-75,HUN,1,Budapest (HUN),10-May-03,1259
46,46,70.78,Fedrick DACRES,28-Feb-94,JAM,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16-Jun-19,1259
47,48,70.72,Imrich BUGÁR,14-Apr-55,TCH,1,Schwechat (AUT),18-Jun-83,1258
48,49,70.67,Virgilijus ALEKNA,13-Feb-72,LTU,1,Madrid (ESP),16-Jul-05,1257
49,50,70.66,Mac WILKINS,15-Nov-50,USA,1,"Walnut, CA (USA)",16-Jun-79,1257
50,50,70.66,Robert HARTING,18-Oct-84,GER,1,Turnov (CZE),22-May-12,1257
51,52,70.61,Virgilijus ALEKNA,13-Feb-72,LTU,1,Tallinn (EST),16-Sep-05,1256
52,53,70.6,Lars RIEDEL,28-Jun-67,GER,1,Berlin (GER),30-Aug-96,1256
53,54,70.58,Luis Mariano DELIS,06-Dec-57,CUB,1,"Salinas, CA (USA)",19-May-82,1255
54,54,70.58,Virgilijus ALEKNA,13-Feb-72,LTU,1,Rethymno (GRE),10-Jul-05,1255
55,56,70.56,Daniel STÅHL,27-Aug-92,SWE,1,"Khalifa International Stadium, Doha (QAT)",03-May-19,1255
56,57,70.54,Dmitriy SHEVCHENKO,13-May-68,RUS,1,Krasnodar (RUS),07-May-02,1254
57,58,70.53,Virgilijus ALEKNA,13-Feb-72,LTU,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05-Jul-05,1254
58,59,70.51,Virgilijus ALEKNA,13-Feb-72,LTU,1,Oslo (NOR),15-Jun-07,1254
59,60,70.48,Mac WILKINS,15-Nov-50,USA,1,San José (USA),29-Apr-78,1253
60,60,70.48,Mac WILKINS,15-Nov-50,USA,1,"Eugene, OR (USA)",31-May-78,1253
61,60,70.48,Rickard BRUCH,02-Jul-46,SWE,1,Malmö (SWE),12-Sep-84,1253
62,63,70.46,Jürgen SCHULT,11-May-60,GDR,1,Berlin (GER),13-Sep-88,1253
63,64,70.44,Mac WILKINS,15-Nov-50,USA,2,San José (USA),09-Jun-84,1253
64,65,NA,Virgilijus ALEKNA,13-Feb-72,LTU,1,"Olympic Stadium, Athina (GRE)",02-Jul-07,1252
65,66,70.39,Louis Barson,13-Feb-72,LTU,1,Tartu (EST),11-Jun-71,1252
66,67,70.38,Jay SILVESTER,27-Aug-37,USA,1,"Lancaster, CA (USA)",16-May-71,1251
67,67,70.38,Gerd KANTER,06-May-79,EST,1,"Chula Vista, CA (USA)",02-May-08,1251
68,69,70.36,Mac WILKINS,15-Nov-50,USA,1,"Modesto, CA (USA)",14-May-83,1251
69,69,70.36,Gerd KANTER,06-May-79,EST,1,Kopvogur (ISL),08-Jul-07,1251
70,71,70.32,Frantz KRUGER,22-May-75,RSA,1,Salon-de-Provence (FRA),26-May-02,1250
71,71,70.32,Gerd KANTER,06-May-79,EST,1,Helsingborg (SWE),06-Sep-08,1250
72,73,70.31,Robert HARTING,18-Oct-84,GER,0,Halle (GER),19-May-12,1250
73,74,70.3,Yuriy DUMCHEV,05-Aug-58,URS,1,Bryansk (URS),31-Jul-88,1250
74,75,70.29,Mauricio ORTEGA,04-Aug-94,COL,1,Lovelhe (POR),22-Jul-20,1250
75,76,70.28,Virgilijus ALEKNA,13-Feb-72,LTU,1,Klaipėda (LTU),23-Jun-12,1250
76,77,70.26,Imrich BUGÁR,14-Apr-55,TCH,1,Cagliari (ITA),08-Sep-84,1249
77,78,70.25,Daniel STÅHL,27-Aug-92,SWE,1,"Hedens IP, Helsingborg (SWE)",21-Jun-20,1249
78,79,70.24,Mac WILKINS,15-Nov-50,USA,-1,San José (USA),01-May-76,1249
79,79,70.24,Wolfgang SCHMIDT,16-Jan-54,GDR,1,Potsdam (GDR),18-Aug-78,1249
80,79,70.24,Imrich BUGÁR,14-Apr-55,TCH,1,Nitra (TCH),26-Aug-84,1249
81,82,70.21,Virgilijus ALEKNA,13-Feb-72,LTU,1,Paris (FRA),23-Jul-04,1248
82,83,70.2,Luis Mariano DELIS,06-Dec-57,CUB,1,La Habana (CUB),08-Aug-82,1248
83,84,70.17,Virgilijus ALEKNA,13-Feb-72,LTU,1,"Olympic Stadium, Helsinki (FIN)",07-Aug-05,1248
84,85,70.16,Gerd KANTER,06-May-79,EST,1,Helsingborg (SWE),11-Aug-07,1247
85,86,70.12,Gerd KANTER,06-May-79,EST,1,Valga (EST),05-Jun-07,1247
86,87,70.1,Mac WILKINS,15-Nov-50,USA,1,"Westwood, CA (USA)",11-Jun-76,1246
87,87,NA,Gerd KANTER,06-May-79,EST,1,"Chula Vista, CA (USA)",27-Apr-05,1246
88,87,70.1,Virgilijus ALEKNA,13-Feb-72,LTU,1,Tallinn (EST),22-Sep-06,1246
89,90,70.06,Imrich BUGÁR,14-Apr-55,TCH,1,Zaragoza (ESP),22-May-83,1246
90,90,70.06,Romas UBARTAS,26-May-60,URS,1,Smalininkai (URS),08-May-88,1246
91,92,70.04,Jay SILVESTER,27-Aug-37,USA,1,Ystad (SWE),10-Jun-71,1245
92,93,70.02,Mac WILKINS,15-Nov-50,USA,1,Reykjavík (ISL),17-Aug-78,1245
93,94,70.01,Virgilijus ALEKNA,13-Feb-72,LTU,1,Vilnius (LTU),18-Apr-07,1245
94,95,70,Mac WILKINS,15-Nov-50,USA,1,Nice (FRA),16-Aug-76,1244
95,95,70,Juan MARTINEZ BRITO,17-May-58,CUB,2,La Habana (CUB),21-May-83,1244
96,95,70,Luis Mariano DELIS,06-Dec-57,CUB,1,La Habana (CUB),31-Mar-85,1244
97,95,70,Róbert FAZEKAS,18-Aug-75,HUN,1,Rethymno (GRE),06-Jul-03,1244
98,99,69.99,Robert HARTING,06-May-79,EST,1,Helsingborg (SWE),06-Sep-09,1244
99,100,69.98,John POWELL,25-Jun-47,USA,2,"Modesto, CA (USA)",16-May-81,1244
